Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72;Column73;Column74;Column75;Column76;Column77;Column78;Column79;Column80;Column81;Column82;Column83;Column84;Column85;Column86;Column87;Column88;Column89;Column90;Column91;Column92;Column93;Column94;Column95;Column96;Column97;Column98;Column99;Column100;Column101;Column102;Column103;Column104;Column105;Column106;Column107;Column108;Column109;Column110;Column111;Column112;Column113
cap-shape=b;cap-shape=c;cap-shape=f;cap-shape=k;cap-shape=s;cap-shape=x;cap-surface=f;cap-surface=g;cap-surface=s;cap-surface=y;cap-color=b;cap-color=c;cap-color=e;cap-color=g;cap-color=n;cap-color=p;cap-color=r;cap-color=u;cap-color=w;cap-color=y;bruises?;odor=a;odor=c;odor=f;odor=l;odor=m;odor=n;odor=p;odor=s;odor=y;gill-attachment=a;gill-attachment=f;gill-spacing=c;gill-spacing=w;gill-size;gill-color=b;gill-color=e;gill-color=g;gill-color=h;gill-color=k;gill-color=n;gill-color=o;gill-color=p;gill-color=r;gill-color=u;gill-color=w;gill-color=y;stalk-shape;stalk-root=b;stalk-root=c;stalk-root=e;stalk-root=r;stalk-surface-above-ring=f;stalk-surface-above-ring=k;stalk-surface-above-ring=s;stalk-surface-above-ring=y;stalk-surface-below-ring=f;stalk-surface-below-ring=k;stalk-surface-below-ring=s;stalk-surface-below-ring=y;stalk-color-above-ring=b;stalk-color-above-ring=c;stalk-color-above-ring=e;stalk-color-above-ring=g;stalk-color-above-ring=n;stalk-color-above-ring=o;stalk-color-above-ring=p;stalk-color-above-ring=w;stalk-color-above-ring=y;stalk-color-below-ring=b;stalk-color-below-ring=c;stalk-color-below-ring=e;stalk-color-below-ring=g;stalk-color-below-ring=n;stalk-color-below-ring=o;stalk-color-below-ring=p;stalk-color-below-ring=w;stalk-color-below-ring=y;veil-color=n;veil-color=o;veil-color=w;veil-color=y;ring-number=n;ring-number=o;ring-number=t;ring-type=e;ring-type=f;ring-type=l;ring-type=n;ring-type=p;spore-print-color=b;spore-print-color=h;spore-print-color=k;spore-print-color=n;spore-print-color=o;spore-print-color=r;spore-print-color=u;spore-print-color=w;spore-print-color=y;population=a;population=c;population=n;population=s;population=v;population=y;habitat=d;habitat=g;habitat=l;habitat=m;habitat=p;habitat=u;habitat=w;class
F;F;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;F;F;F;T;F;F;F;F;F;F;T;F;F;F;T;T;F;T;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;T;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;T;F;B
F;F;F;F;F;T;F;F;T;F;F;F;F;F;F;F;F;F;F;T;T;T;F;F;F;F;F;F;F;F;F;T;T;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;F;F;A
T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;F;T;F;T;F;F;F;T;F;F;F;F;F;F;T;T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;T;F;F;F;A
F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;T;F;F;F;F;F;F;T;F;F;F;T;T;F;T;F;F;F;F;F;T;F;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;T;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;T;F;B
F;F;F;F;F;T;F;F;T;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;T;F;F;F;F;F;T;F;F;F;F;F;F;F;T;F;F;T;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;T;F;F;F;F;F;F;F;T;F;F;F;F;F;T;F;F;F;F;F;F;T;F;F;F;F;F;A
F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;F;T;T;T;F;F;F;F;F;F;F;F;F;T;T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;F;F;A
T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;F;T;F;T;T;F;F;F;F;F;F;F;F;F;T;T;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;T;F;F;F;A
T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;T;F;F;F;T;F;F;F;F;F;F;T;T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;T;F;F;F;A
F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;T;F;F;F;F;F;F;T;F;F;F;T;T;F;T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;T;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;T;F;F;F;F;F;F;F;F;F;F;T;F;F;T;F;F;F;F;F;B
T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;T;T;T;F;F;F;F;F;F;F;F;F;T;T;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;T;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;T;F;F;F;A
F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;F;T;T;F;F;F;T;F;F;F;F;F;F;T;T;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;F;F;A
F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;F;T;T;T;F;F;F;F;F;F;F;F;F;T;T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;T;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;T;F;F;F;A
T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;T;T;T;F;F;F;F;F;F;F;F;F;T;T;F;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;A
F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;T;F;F;F;F;F;F;T;F;F;F;T;T;F;T;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;F;F;F;F;T;F;F;F;T;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;T;F;B
F;F;F;F;F;T;T;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;F;F;F;T;F;F;F;F;T;F;T;F;F;F;F;F;F;T;F;F;F;F;F;F;T;F;F;T;F;F;F;T;F;T;F;F;F;F;F;F;F;F;F;F;T;F;F;F;F;F;F;F;F;T;F;F;F;T;F;F;T;F;T;F;F;F;F;F;F;T;F;F;F;F;F;F;T;F;F;F;F;F;F;T;F;F;F;F;F;A
